date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
1/1/2019,ZA18197Z,ST8000NM0055,8.00E+12,1,93,1,100,100,100
1/1/2019,S300YTAY,ST4000DM000,4.00E+12,1,99,100,100,100,100
1/1/2019,S300ZREZ,ST4000DM000,4.00E+12,1,100,49,100,100,100
1/1/2019,ZA180YM3,ST8000NM0055,8.00E+12,1,100,100,100,100,100
2/1/2019,ZDEB35E7,ST500LM030,5.00E+11,1,100,100,100,100,100
2/1/2019,ZCH07RLC,ST12000NM0007,1.20E+13,1,100,100,100,100,100
2/1/2019,ZA120GQQ,ST8000DM002,8.00E+12,1,99,78,100,100,100
2/1/2019,Z302T6AB,ST4000DM000,4.00E+12,1,100,62,100,98,98
2/1/2019,Z3026Q5Y,ST4000DM000,4.00E+12,1,100,96,100,100,100
3/1/2019,W300THEG,ST4000DM000,4.00E+12,1,99,86,100,100,100
3/1/2019,WCT0EJDY,ST8000DM004,8.00E+12,1,100,100,100,100,100
3/1/2019,ZCH0C6VX,ST12000NM0007,1.20E+13,1,100,100,100,100,100
3/1/2019,S2ZYJ9CG108681,ST500LM012 HN,5.00E+11,1,252,,,252,252
3/1/2019,ZA11QHJ1,ST8000DM002,8.00E+12,1,99,87,100,100,100
3/1/2019,ZCH08BSC,ST12000NM0007,1.20E+13,1,93,78,100,100,100
3/1/2019,ZCH0931T,ST12000NM0007,1.20E+13,1,92,99,100,100,100
4/1/2019,ZA13R2NE,ST8000DM002,8.00E+12,1,95,94,100,100,100
4/1/2019,ZCH075WD,ST12000NM0007,1.20E+13,1,100,100,100,100,100
4/1/2019,ZA18145R,ST8000NM0055,8.00E+12,1,100,97,100,100,100
5/1/2019,ZJV0WCS2,ST12000NM0007,1.20E+13,1,100,100,100,100,100
5/1/2019,ZDEB1F1G,ST500LM030,5.00E+11,1,100,100,100,100,100
5/1/2019,66GHS5MMS,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
6/1/2019,ZA18CEVN,ST8000NM0055,8.00E+12,1,100,97,100,100,100
6/1/2019,ZCH07H2T,ST12000NM0007,1.20E+13,1,100,99,100,100,100
7/1/2019,S2ZYJ9FG404776,ST500LM012 HN,5.00E+11,1,252,,,100,252
7/1/2019,ZCH076TV,ST12000NM0007,1.20E+13,1,100,100,100,100,100
7/1/2019,ZCH07JDQ,ST12000NM0007,1.20E+13,1,97,93,100,100,100
7/1/2019,ZCH06ZQA,ST12000NM0007,1.20E+13,1,98,79,100,100,100
7/1/2019,ZJV0WEQM,ST12000NM0007,1.20E+13,1,95,61,100,100,100
7/1/2019,ZA13R3XX,ST8000DM002,8.00E+12,1,99,91,100,100,100
7/1/2019,188DT93WT,TOSHIBA MQ01ABF050M,5.00E+11,1,100,,,100,100
7/1/2019,ZJV0DH3Q,ST12000NM0007,1.20E+13,1,100,100,100,100,100
8/1/2019,PL2331LAH9R55J,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
8/1/2019,Z3040Z4M,ST4000DM000,4.00E+12,1,100,100,100,100,100
8/1/2019,ZCH0DVJN,ST12000NM0007,1.20E+13,1,100,100,100,100,100
8/1/2019,ZCH0B8ZF,ST12000NM0007,1.20E+13,1,100,99,100,100,100
8/1/2019,ZA13ZS5A,ST8000DM002,8.00E+12,1,100,99,100,100,100
8/1/2019,ZA180YYT,ST8000NM0055,8.00E+12,1,100,100,100,100,100
8/1/2019,ZCH09257,ST12000NM0007,1.20E+13,1,100,95,100,100,100
9/1/2019,ZA11X9WD,ST8000DM002,8.00E+12,1,100,99,100,100,100
9/1/2019,ZCH06TSA,ST12000NM0007,1.20E+13,1,100,100,100,100,100
10/1/2019,Z304JMZP,ST4000DM000,4.00E+12,1,100,100,100,100,100
10/1/2019,87DFWOG3T,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
10/1/2019,ZA153S9S,ST8000NM0055,8.00E+12,1,100,100,100,100,100
10/1/2019,ZA180QHT,ST8000NM0055,8.00E+12,1,100,100,100,100,100
10/1/2019,ZCH06WP8,ST12000NM0007,1.20E+13,1,100,100,100,100,100
10/1/2019,ZJV00N9A,ST12000NM0007,1.20E+13,1,100,100,100,100,100
10/1/2019,ZCH08VPK,ST12000NM0007,1.20E+13,1,88,5,100,100,100
10/1/2019,Z304ZBFY,ST4000DM000,4.00E+12,1,100,82,100,100,100
10/1/2019,ZCH0BMML,ST12000NM0007,1.20E+13,1,99,98,100,100,100
10/1/2019,ZCH06MRJ,ST12000NM0007,1.20E+13,1,100,87,100,100,100
11/1/2019,ZCH07WGZ,ST12000NM0007,1.20E+13,1,85,79,100,100,100
11/1/2019,S2ZYJ9CF715329,ST500LM012 HN,5.00E+11,1,252,,,100,252
11/1/2019,PL2331LAH3HXGJ,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
11/1/2019,ZCH07HK7,ST12000NM0007,1.20E+13,1,99,92,100,100,100
11/1/2019,ZCH06L88,ST12000NM0007,1.20E+13,1,100,100,100,100,100
11/1/2019,ZA174KNX,ST8000NM0055,8.00E+12,1,100,100,100,100,100
11/1/2019,ZA1814EZ,ST8000NM0055,8.00E+12,1,100,100,100,100,100
12/1/2019,ZCH077G2,ST12000NM0007,1.20E+13,1,100,100,100,100,100
13/1/2019,S301GM8H,ST4000DM000,4.00E+12,1,100,82,100,100,100
13/1/2019,S301GPB1,ST4000DM000,4.00E+12,1,100,79,100,100,100
13/1/2019,S301GS1L,ST4000DM000,4.00E+12,1,100,77,100,100,100
13/1/2019,Z303XYPJ,ST4000DM000,4.00E+12,1,100,91,100,100,100
14/1/2019,96ICTBPQT,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
14/1/2019,PL1331LAHEZ7JH,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
14/1/2019,Z302T7JZ,ST4000DM000,4.00E+12,1,100,100,100,100,100
