smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized,predict
93,1,100,100,100,
99,100,100,100,100,
100,49,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
99,78,100,100,100,
100,62,100,98,98,
100,96,100,100,100,
99,86,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
252,,,252,252,
99,87,100,100,100,
93,78,100,100,100,
92,99,100,100,100,
95,94,100,100,100,
100,100,100,100,100,
100,97,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,,,100,100,
100,97,100,100,100,
100,99,100,100,100,
252,,,100,252,
100,100,100,100,100,
97,93,100,100,100,
98,79,100,100,100,
95,61,100,100,100,
99,91,100,100,100,
100,,,100,100,
100,100,100,100,100,
100,,,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,99,100,100,100,
100,99,100,100,100,
100,100,100,100,100,
100,95,100,100,100,
100,99,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,,,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
88,5,100,100,100,
100,82,100,100,100,
99,98,100,100,100,
100,87,100,100,100,
85,79,100,100,100,
252,,,100,252,
100,,,100,100,
99,92,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,82,100,100,100,
100,79,100,100,100,
100,77,100,100,100,
100,91,100,100,100,
100,,,100,100,
100,,,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
98,92,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
98,100,100,100,100,
100,94,100,100,100,
100,95,100,100,100,
100,97,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
98,96,100,61,61,
100,95,100,100,100,
100,98,100,100,100,
100,100,100,100,100,
94,100,100,100,100,
100,82,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,,,100,100,
100,100,100,100,100,
100,100,100,100,100,
98,93,100,100,100,
100,70,100,100,100,
100,100,100,100,100,
252,,,252,252,
100,80,100,100,100,
99,94,100,100,100,
100,99,100,98,98,
100,98,100,100,100,
100,94,100,98,98,
100,100,100,100,100,
100,100,100,100,100,
100,99,100,100,100,
100,96,100,100,100,
100,100,100,100,100,
100,99,100,100,100,
100,,,100,100,
100,1,100,100,100,
100,100,100,100,100,
100,100,100,100,100,
100,96,100,100,100,
99,97,100,100,100,
252,,,252,252,
100,78,100,100,100,
98,98,100,100,100,
100,62,100,100,100,
252,,,252,252,
100,98,100,100,100,
100,99,100,100,100,
100,100,100,100,100,
100,91,100,100,100,
100,,,100,100,
61,98,100,100,100,
100,100,100,100,100,
80,93,100,100,100,
100,100,100,100,100,
