Time,Source,Destination,Protocol,Length,Info,Column1,Web server class
1239,9.22212,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2076,39.434038,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2460,73.112342,LGInnote_c9:2e:d0,LiteonTe_d2:ad:d5,ARP,42,Who has 192.168.0.109? Tell 192.168.0.118,ARP
2461,73.112461,LiteonTe_d2:ad:d5,LGInnote_c9:2e:d0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
2595,99.744577,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2598,100.97333,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2600,101.99729,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2630,103.021355,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2661,104.045306,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2667,104.968687,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2695,105.991045,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2703,108.038927,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2707,108.96064,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2717,109.984666,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2728,116.026301,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2729,117.050177,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2731,117.971894,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2809,127.495265,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.108? Tell 192.168.0.1,ARP
2831,130.260098,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2860,130.567468,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.114? Tell 192.168.0.1,ARP
2879,133.639297,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.110? Tell 192.168.0.1,ARP
2910,136.711307,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.105? Tell 192.168.0.1,ARP
2951,139.783479,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.118? Tell 192.168.0.1,ARP
3011,142.855511,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.104? Tell 192.168.0.1,ARP
3114,145.927514,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.115? Tell 192.168.0.1,ARP
3140,148.999433,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.109? Tell 192.168.0.1,ARP
3141,148.99956,LiteonTe_d2:ad:d5,Tp-LinkT_c1:a6:f0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
3159,152.071503,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.101? Tell 192.168.0.1,ARP
3182,155.143596,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.111? Tell 192.168.0.1,ARP
3187,158.216027,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.102? Tell 192.168.0.1,ARP
3267,160.16131,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.112? Tell 192.168.0.1,ARP
3355,160.570702,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
9092,190.77893,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
9105,193.130078,LGInnote_c9:2e:d0,LiteonTe_d2:ad:d5,ARP,42,Who has 192.168.0.109? Tell 192.168.0.118,ARP
9106,193.130208,LiteonTe_d2:ad:d5,LGInnote_c9:2e:d0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
9110,193.804603,LiteonTe_d2:ad:d5,Tp-LinkT_c1:a6:f0,ARP,42,Who has 192.168.0.1? Tell 192.168.0.109,ARP
9111,193.805557,Tp-LinkT_c1:a6:f0,LiteonTe_d2:ad:d5,ARP,42,192.168.0.1 is at 18:a6:f7:c1:a6:f0,ARP
11389,221.089683,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
16992,251.297924,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
19399,261.742857,Apple_1b:96:aa,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.102,ARP
19467,281.506384,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
22205,311.817133,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
22836,313.264812,LGInnote_c9:2e:d0,LiteonTe_d2:ad:d5,ARP,42,Who has 192.168.0.109? Tell 192.168.0.118,ARP
22839,313.265222,LiteonTe_d2:ad:d5,LGInnote_c9:2e:d0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
1239,9.22212,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2076,39.434038,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2460,73.112342,LGInnote_c9:2e:d0,LiteonTe_d2:ad:d5,ARP,42,Who has 192.168.0.109? Tell 192.168.0.118,ARP
2461,73.112461,LiteonTe_d2:ad:d5,LGInnote_c9:2e:d0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
2595,99.744577,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2598,100.97333,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2600,101.99729,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2630,103.021355,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2661,104.045306,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2667,104.968687,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2695,105.991045,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2703,108.038927,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2707,108.96064,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2717,109.984666,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2728,116.026301,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2729,117.050177,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2731,117.971894,Tp-LinkT_c1:a6:f0,Broadcast,ARP,42,Who has 192.168.0.107? Tell 192.168.0.1,ARP
2809,127.495265,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.108? Tell 192.168.0.1,ARP
2831,130.260098,HuaweiTe_9a:ca:fb,Broadcast,ARP,42,Who has 192.168.0.1? Tell 192.168.0.101,ARP
2860,130.567468,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.114? Tell 192.168.0.1,ARP
2879,133.639297,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.110? Tell 192.168.0.1,ARP
2910,136.711307,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.105? Tell 192.168.0.1,ARP
2951,139.783479,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.118? Tell 192.168.0.1,ARP
3011,142.855511,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.104? Tell 192.168.0.1,ARP
3114,145.927514,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.115? Tell 192.168.0.1,ARP
3140,148.999433,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.109? Tell 192.168.0.1,ARP
3141,148.99956,LiteonTe_d2:ad:d5,Tp-LinkT_c1:a6:f0,ARP,42,192.168.0.109 is at 00:22:5f:d2:ad:d5,ARP
3159,152.071503,Tp-LinkT_c1:a6:f0,Broadcast,ARP,60,Who has 192.168.0.101? Tell 192.168.0.1,ARP
